variable;unit;min;max;definition
Secondary Energy|Other Carrier|Biomass;EJ/yr;NA;1000;generation of other secondary energy carriers from biomass that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
Secondary Energy|Other Carrier|Non-Biomass Renewables;EJ/yr;NA;1000;generation of other secondary energy carriers from non-biomass renewables that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
Secondary Energy|Other Carrier|Nuclear;EJ/yr;NA;1000;generation of other secondary energy carriers from nuclear energy that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
Secondary Energy|Other Carrier|Other;EJ/yr;NA;1000;generation of other secondary energy carriers from other sources that do not fit any other category (please provide a definition of other energy carrier and the other source in this category in the 'comments' tab)
Final Energy;EJ/yr;NA;1000;final final energy consumed by end-use sectors, excluding transmission/distribution losses
Final Energy|Industry;EJ/yr;NA;1000;final energy consumed by the industrial sector, including feedstocks, including agriculture and fishing
Final Energy|Residential and Commercial;EJ/yr;NA;1000;final energy consumed in the residential & commercial sector
Final Energy|Transportation;EJ/yr;NA;1000;final energy consumed in the transportation sector, including bunker fuels, excluding pipelines
Final Energy|Transportation|Passenger;EJ/yr;NA;1000;final energy consumed for passenger transportation
Final Energy|Transportation|Freight;EJ/yr;NA;1000;final energy consumed for freight transportation
Final Energy|Other Sector;EJ/yr;NA;1000;total final energy consumption by other sectors
Final Energy|Solids;EJ/yr;NA;1000;final energy solid fuel consumption (including coal and solid biomass)
Final Energy|Solids|Coal;EJ/yr;NA;1000;final energy coal consumption
Final Energy|Solids|Biomass;EJ/yr;NA;1000;final energy consumption of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Solids|Biomass|Traditional;EJ/yr;NA;1000;final energy consumption of traditional biomass
Final Energy|Liquids;EJ/yr;NA;1000;final energy consumption of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Gases;EJ/yr;NA;1000;final energy consumption of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Electricity;EJ/yr;NA;1000;final energy consumption of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Hydrogen;EJ/yr;NA;1000;final energy consumption of hydrogen
Final Energy|Heat;EJ/yr;NA;1000;final energy consumption of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Other;EJ/yr;NA;1000;final energy consumption of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Energy Service|Transportation|Passenger;bn pkm/yr;NA;1000;energy service demand for passenger transport
Energy Service|Transportation|Freight;bn tkm/yr;NA;1000;energy service demand for freight transport
